; ISO 3166-2:GB
; ISO source: https://www.iso.org/obp/ui/#iso:code:3166:GB
; Extracted on: 20150531
; 
; Subdivision category	3166-2 code	Subdivision name	Language code	Romanization system	Parent subdivision
unitary authority	GB-MIK	Milton Keynes	en		GB-ENG
unitary authority	GB-MON	Monmouthshire [Sir Fynwy GB-FYN]	en		GB-WLS
council area	GB-MRY	Moray	en		GB-SCT
district council area	GB-MYL	Moyle	en		GB-NIR
unitary authority	GB-NTL	Neath Port Talbot [Castell-nedd Port Talbot GB-CTL]	en		GB-WLS
metropolitan district	GB-NET	Newcastle upon Tyne	en		GB-ENG
London borough	GB-NWM	Newham	en		GB-ENG
unitary authority	GB-NWP	Newport [Casnewydd GB-CNW]	en		GB-WLS
district council area	GB-NYM	Newry and Mourne	en		GB-NIR
district council area	GB-NTA	Newtownabbey	en		GB-NIR
two-tier county	GB-NFK	Norfolk	en		GB-ENG
two-tier county	GB-NTH	Northamptonshire	en		GB-ENG
council area	GB-NAY	North Ayrshire	en		GB-SCT
district council area	GB-NDN	North Down	en		GB-NIR
unitary authority	GB-NEL	North East Lincolnshire	en		GB-ENG
province	GB-NIR	Northern Ireland	en		
council area	GB-NLK	North Lanarkshire	en		GB-SCT
unitary authority	GB-NLN	North Lincolnshire	en		GB-ENG
unitary authority	GB-NSM	North Somerset	en		GB-ENG
metropolitan district	GB-NTY	North Tyneside	en		GB-ENG
unitary authority	GB-NBL	Northumberland	en		GB-ENG
two-tier county	GB-NYK	North Yorkshire	en		GB-ENG
unitary authority	GB-NGM	Nottingham	en		GB-ENG
two-tier county	GB-NTT	Nottinghamshire	en		GB-ENG
metropolitan district	GB-OLD	Oldham	en		GB-ENG
district council area	GB-OMH	Omagh	en		GB-NIR
council area	GB-ORK	Orkney Islands	en		GB-SCT
two-tier county	GB-OXF	Oxfordshire	en		GB-ENG
unitary authority	GB-PEM	Pembrokeshire [Sir Benfro GB-BNF]	en		GB-WLS
council area	GB-PKN	Perth and Kinross	en		GB-SCT
unitary authority	GB-PTE	Peterborough	en		GB-ENG
unitary authority	GB-PLY	Plymouth	en		GB-ENG
unitary authority	GB-POL	Poole	en		GB-ENG
unitary authority	GB-POR	Portsmouth	en		GB-ENG
unitary authority	GB-POW	Powys	en		GB-WLS
unitary authority	GB-RDG	Reading	en		GB-ENG
London borough	GB-RDB	Redbridge	en		GB-ENG
unitary authority	GB-RCC	Redcar and Cleveland	en		GB-ENG
council area	GB-RFW	Renfrewshire	en		GB-SCT
unitary authority	GB-RCT	Rhondda, Cynon, Taff [Rhondda, Cynon,Taf]	en		GB-WLS
London borough	GB-RIC	Richmond upon Thames	en		GB-ENG
metropolitan district	GB-RCH	Rochdale	en		GB-ENG
metropolitan district	GB-ROT	Rotherham	en		GB-ENG
unitary authority	GB-RUT	Rutland	en		GB-ENG
metropolitan district	GB-SLF	Salford	en		GB-ENG
metropolitan district	GB-SAW	Sandwell	en		GB-ENG
country	GB-SCT	Scotland	en		
council area	GB-SCB	Scottish Borders, The	en		GB-SCT
metropolitan district	GB-SFT	Sefton	en		GB-ENG
metropolitan district	GB-SHF	Sheffield	en		GB-ENG
council area	GB-ZET	Shetland Islands	en		GB-SCT
unitary authority	GB-SHR	Shropshire	en		GB-ENG
unitary authority	GB-SLG	Slough	en		GB-ENG
metropolitan district	GB-SOL	Solihull	en		GB-ENG
two-tier county	GB-SOM	Somerset	en		GB-ENG
unitary authority	GB-STH	Southampton	en		GB-ENG
council area	GB-SAY	South Ayrshire	en		GB-SCT
unitary authority	GB-SOS	Southend-on-Sea	en		GB-ENG
unitary authority	GB-SGC	South Gloucestershire	en		GB-ENG
council area	GB-SLK	South Lanarkshire	en		GB-SCT
metropolitan district	GB-STY	South Tyneside	en		GB-ENG
London borough	GB-SWK	Southwark	en		GB-ENG
metropolitan district	GB-SHN	St. Helens	en		GB-ENG
two-tier county	GB-STS	Staffordshire	en		GB-ENG
council area	GB-STG	Stirling	en		GB-SCT
metropolitan district	GB-SKP	Stockport	en		GB-ENG
unitary authority	GB-STT	Stockton-on-Tees	en		GB-ENG
unitary authority	GB-STE	Stoke-on-Trent	en		GB-ENG
district council area	GB-STB	Strabane	en		GB-NIR
two-tier county	GB-SFK	Suffolk	en		GB-ENG
metropolitan district	GB-SND	Sunderland	en		GB-ENG
two-tier county	GB-SRY	Surrey	en		GB-ENG
London borough	GB-STN	Sutton	en		GB-ENG
unitary authority	GB-SWA	Swansea [Abertawe GB-ATA]	en		GB-WLS
unitary authority	GB-SWD	Swindon	en		GB-ENG
metropolitan district	GB-TAM	Tameside	en		GB-ENG
unitary authority	GB-TFW	Telford and Wrekin	en		GB-ENG
unitary authority	GB-THR	Thurrock	en		GB-ENG
unitary authority	GB-TOB	Torbay	en		GB-ENG
unitary authority	GB-TOF	Torfaen [Tor-faen]	en		GB-WLS
London borough	GB-TWH	Tower Hamlets	en		GB-ENG
metropolitan district	GB-TRF	Trafford	en		GB-ENG
nation	GB-UKM	United Kingdom	en		
unitary authority	GB-VGL	Vale of Glamorgan, The [Bro Morgannwg GB-BMG]	en		GB-WLS
metropolitan district	GB-WKF	Wakefield	en		GB-ENG
country	GB-WLS	Wales [Cymru GB-CYM]	en		
metropolitan district	GB-WLL	Walsall	en		GB-ENG
London borough	GB-WFT	Waltham Forest	en		GB-ENG
London borough	GB-WND	Wandsworth	en		GB-ENG
unitary authority	GB-WRT	Warrington	en		GB-ENG
two-tier county	GB-WAR	Warwickshire	en		GB-ENG
unitary authority	GB-WBK	West Berkshire	en		GB-ENG
council area	GB-WDU	West Dunbartonshire	en		GB-SCT
council area	GB-WLN	West Lothian	en		GB-SCT
London borough	GB-WSM	Westminster	en		GB-ENG
two-tier county	GB-WSX	West Sussex	en		GB-ENG
metropolitan district	GB-WGN	Wigan	en		GB-ENG
unitary authority	GB-WIL	Wiltshire	en		GB-ENG
unitary authority	GB-WNM	Windsor and Maidenhead	en		GB-ENG
metropolitan district	GB-WRL	Wirral	en		GB-ENG
unitary authority	GB-WOK	Wokingham	en		GB-ENG
metropolitan district	GB-WLV	Wolverhampton	en		GB-ENG
two-tier county	GB-WOR	Worcestershire	en		GB-ENG
unitary authority	GB-WRX	Wrexham [Wrecsam GB-WRC]	en		GB-WLS
unitary authority	GB-YOR	York	en		GB-ENG
